team,rec,home_rec,away_rec,offense,defense,
NO,5,7,4,8,5,8,8,
TB,8,4,6,6,2,5,4,
TEN,5,6,5,3,4,7,4,
WAS,6,5,6,4,3,6,4,
MIA,5,4,7,2,3,5,2,
MIN,1,8,1,6,7,8,5,
NYJ,6,4,6,2,2,5,3,
NYG,8,2,6,3,2,3,1,
CHI,4,4,3,1,3,4,1,
LA,5,7,4,6,8,5,8,
IND,8,3,7,1,2,4,1,
CLE,5,1,7,2,1,1,1,
PHI,3,8,2,7,7,8,8,
SF,6,4,6,5,4,4,4,
JAX,1,7,1,7,5,7,7,
CIN,5,5,5,1,4,5,2,
BAL,4,6,3,2,5,6,6,
BUF,7,6,5,2,4,7,3,
SEA,4,6,4,4,6,5,5,
OAK,6,4,6,4,3,5,3,
DET,7,6,6,5,6,5,6,
PIT,3,8,3,8,8,7,6,
HOU,6,3,8,3,2,4,4,
LAC,4,6,1,7,5,6,4,
DAL,4,6,4,4,7,4,4,
KC,7,7,4,7,5,7,6,
ATL,4,7,3,6,6,6,4,
DEN,2,4,6,4,2,5,2,
ARI,3,5,5,3,4,6,3,
NE,8,8,2,8,8,7,8,
CAR,4,7,4,4,6,7,5,
GB,6,5,6,2,4,5,3,
