team,rec,home_rec,away_rec,offense,defense,
STL,5,3,3,1,2,5,2,
TB,4,3,6,6,3,3,4,
TEN,4,1,6,1,2,1,2,
WAS,6,5,5,5,3,6,5,
DAL,4,1,4,3,3,1,2,
MIN,4,6,2,2,6,6,4,
NYJ,3,5,2,6,5,6,5,
NYG,8,3,7,6,3,3,6,
CHI,4,3,5,4,6,1,3,
IND,6,4,6,2,5,4,3,
CLE,6,1,7,3,1,2,2,
PHI,7,3,7,5,5,3,5,
MIA,6,3,5,3,3,3,3,
OAK,5,3,5,3,5,3,4,
BAL,4,2,5,5,2,3,3,
BUF,5,4,4,5,3,5,5,
SEA,1,5,1,6,6,5,6,
HOU,2,5,2,4,5,5,4,
DET,4,3,5,4,3,4,4,
CIN,4,7,1,5,7,6,6,
PIT,5,5,2,8,5,6,6,
NO,8,3,8,8,3,4,6,
SD,5,1,5,6,1,3,3,
KC,3,6,1,3,6,6,6,
ATL,4,4,3,6,5,4,4,
SF,7,2,5,1,1,4,1,
DEN,1,7,1,5,7,6,4,
ARI,3,7,2,8,8,6,8,
NE,4,7,2,6,6,7,7,
CAR,3,8,2,5,8,8,8,
JAC,6,2,7,4,1,4,5,
GB,4,5,2,3,6,5,4,
