team,rec,home_rec,away_rec,offense,defense,
TB,7,2,8,8,2,4,5,
TEN,3,5,1,4,4,6,3,
WAS,5,4,4,3,5,3,2,
DET,3,3,4,4,4,3,3,
DAL,3,6,2,5,4,7,3,
NYJ,6,1,7,3,3,2,3,
NYG,6,2,6,5,4,2,4,
CHI,1,8,1,5,6,7,5,
LA,5,8,5,8,7,7,8,
IND,4,6,3,7,5,6,5,
CLE,7,4,5,6,3,5,4,
OAK,6,1,8,5,2,3,2,
PHI,5,5,3,6,5,5,4,
MIA,7,4,7,3,2,6,3,
JAX,2,2,2,3,3,3,1,
CIN,8,3,8,3,3,4,4,
SF,4,1,7,6,1,4,3,
BUF,1,3,4,3,3,4,2,
SEA,4,6,3,5,5,6,5,
NO,4,8,4,7,8,6,7,
MIN,2,5,3,5,4,5,4,
PIT,3,5,4,8,5,5,5,
HOU,4,7,2,6,6,6,5,
LAC,3,8,3,6,8,5,5,
BAL,1,6,1,6,5,6,4,
KC,8,8,7,8,6,7,8,
ATL,7,4,7,7,4,4,5,
DEN,5,3,3,5,4,3,3,
ARI,5,1,7,1,3,1,1,
NE,5,7,2,7,4,8,5,
CAR,5,4,5,6,3,5,4,
GB,5,3,6,6,2,5,4,
