home,away,rec,op_rec,home_rec,op_away_rec,off,def,op_off,op_def,hop,aop,hdp,adp,div,result
-1,-1,8,8,8,8,8,8,8,8,8,8,8,8,2,2
result
SEA,GB,8,8,8,5,6,1,7,5,5,8,1,4,False,True
ATL,NO,4,5,4,5,6,8,8,8,5,6,7,7,True,True
STL,MIN,4,5,4,3,3,6,3,5,3,3,5,4,False,False
PIT,CLE,8,5,7,4,8,6,3,6,7,2,5,4,True,True
PHI,JAC,7,1,7,1,7,7,1,7,8,1,6,7,False,True
NYJ,OAK,2,1,3,1,3,4,1,6,2,1,6,8,False,True
BAL,CIN,7,7,7,6,6,5,5,6,6,4,2,4,True,False
CHI,BUF,3,6,3,5,3,7,3,3,3,4,8,2,False,False
HOU,WAS,6,2,6,2,4,5,5,6,5,2,3,8,False,True
KC,TEN,6,1,7,2,3,4,2,7,4,1,2,8,False,False
MIA,NE,5,8,5,6,5,5,6,5,5,8,5,3,True,True
TB,CAR,1,5,1,4,1,7,4,5,1,4,7,5,True,False
DAL,SF,8,5,5,5,7,6,3,4,8,2,4,4,False,False
DEN,IND,8,8,8,6,8,3,8,5,8,8,5,5,False,True
DET,NYG,8,4,8,4,4,3,6,7,3,5,2,6,False,True
ARI,SD,8,6,8,5,3,7,4,5,3,4,2,4,False,True
BAL,PIT,7,8,7,6,6,5,8,6,6,7,2,5,True,True
BUF,MIA,6,5,6,5,3,3,5,5,4,5,2,5,True,True
WAS,JAC,2,1,4,1,5,6,1,7,2,1,8,7,False,True
TEN,DAL,1,8,2,8,2,7,7,6,1,8,8,4,False,False
NYG,ARI,4,8,4,5,6,7,3,7,5,3,6,2,False,False
MIN,NE,5,8,6,6,3,5,6,5,3,8,4,3,False,False
CLE,NO,5,5,5,5,3,6,8,8,2,6,4,7,False,True
CIN,ATL,7,4,6,4,5,6,6,8,4,5,4,7,False,True
CAR,DET,5,8,5,5,4,5,4,3,4,3,5,2,False,True
TB,STL,1,4,1,4,1,7,3,6,1,3,7,5,False,False
SD,SEA,6,8,6,6,4,5,6,1,4,5,4,1,False,True
OAK,HOU,1,6,4,5,1,6,4,5,1,5,8,3,False,False
GB,NYJ,8,2,8,3,7,5,3,4,8,2,4,6,False,True
DEN,KC,8,6,8,4,8,3,3,4,8,4,5,2,True,True
SF,CHI,5,3,5,4,3,4,3,7,2,3,4,8,False,False
IND,PHI,8,7,7,5,8,5,7,7,8,8,5,6,False,False
ATL,TB,4,1,4,3,6,8,1,7,5,1,7,7,True,True
BUF,SD,6,6,6,5,3,3,4,5,4,4,2,4,False,False
STL,DAL,4,8,4,8,3,6,7,6,3,8,5,4,False,False
PHI,WAS,7,2,7,2,7,7,5,6,8,2,6,8,True,True
NYG,HOU,4,6,4,5,6,7,4,5,5,5,6,3,False,True
NO,MIN,5,5,4,3,8,8,3,5,6,3,7,4,False,True
CIN,TEN,7,1,6,2,5,6,2,7,4,1,4,8,False,True
CLE,BAL,5,7,5,5,3,6,6,5,2,6,4,2,True,False
DET,GB,8,8,8,5,4,3,7,5,3,8,2,4,True,True
JAC,IND,1,8,4,6,1,7,8,5,1,8,7,5,False,False
NE,OAK,8,1,8,1,6,5,1,6,8,1,3,8,False,True
ARI,SF,8,5,8,5,3,7,3,4,3,2,2,4,True,True
SEA,DEN,8,8,8,5,6,1,8,3,5,8,1,5,False,True
MIA,KC,5,6,5,4,5,5,3,4,5,4,5,2,False,False
CAR,PIT,5,8,5,6,4,5,8,6,4,7,5,5,False,False
NYJ,CHI,2,3,3,4,3,4,3,7,2,3,6,8,False,False
WAS,NYG,2,4,4,4,5,6,6,7,2,5,8,6,True,False
CHI,GB,3,8,3,5,3,7,7,5,3,8,8,4,True,False
HOU,BUF,6,6,6,5,4,5,3,3,5,4,3,2,False,True
IND,TEN,8,1,7,2,8,5,2,7,8,1,5,8,True,True
BAL,CAR,7,5,7,4,6,5,4,5,6,4,2,5,False,True
NYJ,DET,2,8,3,5,3,4,4,3,2,3,6,2,False,False
PIT,TB,8,1,7,3,8,6,1,7,7,1,5,7,False,False
OAK,MIA,1,5,4,5,1,6,5,5,1,5,8,5,False,False
SD,JAC,6,1,6,1,4,5,1,7,4,1,4,7,False,True
SF,PHI,5,7,5,5,3,4,7,7,2,8,4,6,False,True
MIN,ATL,5,4,6,4,3,5,6,8,3,5,4,7,False,True
DAL,NO,8,5,5,5,7,6,8,8,8,6,4,7,False,True
KC,NE,6,8,7,6,3,4,6,5,4,8,2,3,False,True
GB,MIN,8,5,8,3,7,5,3,5,8,3,4,4,True,True
CAR,CHI,5,3,5,4,4,5,3,7,4,3,5,8,False,True
TEN,CLE,1,5,2,4,2,7,3,6,1,2,8,4,False,False
PHI,STL,7,4,7,4,7,7,3,6,8,3,6,5,False,True
