,game_id,team,net_pass_yds,net_rush_yds,time_of_possession,net_pen_yds,fumble,interception,turnovers,num_passing_attempts,completions,completion_ratio,ypg,qbr,num_rushing_attempts,is_winner
41,2009092006,PHI,378,85,1490.0,0.0,0.0,3.0,3.0,54.0,31.0,0.5740740740740741,463,68.28703703703702,21,False
42,2009092005,NE,216,83,1836.0,0.0,0.0,1.0,1.0,46.0,23.0,0.5,299,54.257246376811594,20,False
43,2009092005,NYJ,137,119,1714.0,0.0,2.0,0.0,2.0,24.0,14.0,0.5833333333333334,256,88.36805555555554,29,True
44,2009092004,OAK,99,70,1260.0,15.0,0.0,0.0,0.0,26.0,7.0,0.2692307692307692,169,40.38461538461538,22,True
45,2009092004,KC,236,173,2163.0,25.0,0.0,2.0,2.0,41.0,24.0,0.5853658536585366,409,62.65243902439024,38,False
46,2009092003,ARI,265,122,1778.0,0.0,3.0,0.0,3.0,32.0,27.0,0.84375,387,127.734375,24,True
47,2009092003,JAC,280,92,1710.0,0.0,4.0,1.0,5.0,47.0,23.0,0.48936170212765956,372,73.00531914893617,20,False
48,2009092002,GB,222,89,1380.0,21.0,2.0,0.0,2.0,44.0,21.0,0.4772727272727273,311,70.45454545454545,18,False
49,2009092002,CIN,168,151,2042.0,7.0,2.0,2.0,4.0,25.0,15.0,0.6,319,86.75,34,True
50,2009092010,SEA,217,66,1481.0,15.0,2.0,1.0,3.0,42.0,25.0,0.5952380952380952,283,71.23015873015873,23,False
51,2009092010,SF,123,256,2096.0,0.0,2.0,0.0,2.0,31.0,19.0,0.6129032258064516,379,69.69086021505376,29,True
52,2009092009,TB,296,57,1716.0,55.0,1.0,1.0,2.0,52.0,26.0,0.5,353,78.68589743589745,19,True
53,2009092009,BUF,220,218,1758.0,0.0,1.0,1.0,2.0,33.0,21.0,0.6363636363636364,438,90.46717171717171,35,False
54,2009092013,SD,421,53,1869.0,5.0,1.0,2.0,3.0,46.0,25.0,0.5434782608695652,474,81.88405797101449,21,False
55,2009092013,BAL,181,130,1719.0,0.0,1.0,1.0,2.0,28.0,18.0,0.6428571428571429,311,91.51785714285715,32,True
56,2009092012,CLE,146,55,1632.0,15.0,2.0,1.0,3.0,35.0,18.0,0.5142857142857142,201,50.41666666666666,20,False
57,2009092012,DEN,263,188,1958.0,30.0,0.0,0.0,0.0,37.0,19.0,0.5135135135135135,451,83.50225225225225,36,True
58,2009092011,CHI,232,44,1579.0,15.0,1.0,0.0,1.0,38.0,27.0,0.7105263157894737,276,104.2763157894737,17,False
59,2009092011,PIT,203,106,1828.0,0.0,0.0,0.0,0.0,36.0,23.0,0.6388888888888888,309,88.07870370370371,21,True
60,2009092014,DAL,127,251,1459.0,0.0,0.0,3.0,3.0,29.0,13.0,0.4482758620689655,378,26.07758620689655,29,True
61,2009092014,NYG,330,97,1894.0,15.0,0.0,0.0,0.0,38.0,25.0,0.6578947368421053,427,110.63596491228071,26,False
62,2009092100,IND,295,61,840.0,0.0,0.0,0.0,0.0,24.0,14.0,0.5833333333333334,356,129.6875,11,True
63,2009092100,MIA,164,239,2533.0,0.0,1.0,1.0,2.0,33.0,22.0,0.6666666666666666,403,65.71969696969697,49,False
64,2009092700,CLE,115,71,1655.0,26.0,0.0,3.0,3.0,28.0,17.0,0.6071428571428571,186,25.148809523809522,23,False
65,2009092700,BAL,337,142,1904.0,10.0,1.0,0.0,1.0,38.0,26.0,0.6842105263157895,479,104.82456140350878,28,True
66,2009092711,NYJ,146,87,1871.0,0.0,2.0,1.0,3.0,33.0,17.0,0.5151515151515151,233,71.02272727272727,28,True
67,2009092711,TEN,159,127,1642.0,0.0,0.0,2.0,2.0,39.0,15.0,0.38461538461538464,286,38.30128205128205,30,False
68,2009092702,DET,227,154,1803.0,15.0,1.0,0.0,1.0,37.0,21.0,0.5675675675675675,381,83.95270270270271,36,True
69,2009092702,WAS,325,65,1290.0,0.0,2.0,1.0,3.0,42.0,27.0,0.6428571428571429,390,93.84920634920636,14,False
70,2009092703,HOU,286,111,1782.0,30.0,1.0,1.0,2.0,37.0,26.0,0.7027027027027027,397,108.61486486486487,22,False
71,2009092703,JAC,214,187,1703.0,15.0,1.0,0.0,1.0,30.0,18.0,0.6,401,81.80555555555556,28,True
72,2009092704,SF,188,58,1678.0,15.0,1.0,1.0,2.0,25.0,15.0,0.6,246,93.41666666666667,26,False
73,2009092704,MIN,283,94,1806.0,11.0,0.0,1.0,1.0,45.0,24.0,0.5333333333333333,377,78.28703703703704,27,True
74,2009092705,ATL,199,59,1188.0,0.0,1.0,0.0,1.0,28.0,17.0,0.6071428571428571,258,82.29166666666666,16,False
75,2009092705,NE,277,170,2035.0,0.0,0.0,0.0,0.0,42.0,25.0,0.5952380952380952,447,87.10317460317461,37,True
76,2009092708,NYG,171,228,2318.0,0.0,0.0,0.0,0.0,27.0,16.0,0.5925925925925926,399,102.54629629629628,47,True
77,2009092708,TB,58,29,957.0,10.0,0.0,1.0,1.0,26.0,11.0,0.4230769230769231,87,30.608974358974354,9,False
78,2009092706,PHI,327,95,1757.0,0.0,2.0,0.0,2.0,36.0,24.0,0.6666666666666666,422,114.00462962962965,25,True
79,2009092706,KC,97,99,1733.0,10.0,2.0,0.0,2.0,22.0,15.0,0.6818181818181818,196,107.57575757575759,29,False
